,Customer,DBA Name,TDLR Number,City,State,Zip code
321,GARCIA'S WRECKER,,006110675C,ANGLETON,TX,77515
322,GARCIA'S WRECKER SERVICE,,0611068VSF (Expired!),ANGLETON,TX,77515
323,GARCIA'S WRECKER SERVICE LLC,GARCIA'S WRECKER SERVICE,006471903C,SEGUIN,TX,78155
324,GARCIA'S WRECKER SERVICE LLC,GARCIA'S WRECKER SERVICE,0647191VSF,SEGUIN,TX,78155
325,GARRETT'S WRECKER SERVICE,,006264476C,CARTHAGE,TX,75633
326,GARRETT'S WRECKER SERVICE,,0626836VSF (Expired!),CARTHAGE,TX,75633
327,GARRETTS WRECKER SERVICE,G L TOWING,006492841C (Suspended!),CARTHAGE,TX,75633
328,GARRETTS'S WRECKER,LAGRONE'S TOWING AND TRANSPORT,006468521C,CARTHAGE,TX,75633
329,GASTON WRECKER SERVICE AND STORAGE LLC,,0656065VSF,CHAPPELL HILL,TX,77426
330,"GASTON WRECKER SERVICE AND STORAGE, LLC",,0654461VSF (Suspended!),CHAPPELL HILL,TX,77426
331,GASTONWRECKERSERVICEANDSTORAGELLC,,006559444C,CHAPPELL HILL,TX,77426
332,GATEWAY WRECKER SERVICE LLC,GATEWAY WRECKER SERVICE,006575719C,DIBOLL,TX,75941
333,"GENE'S WRECKER, TIRE & TRUCK REPAIR, LLC",,0657482VSF,EL CAMPO,TX,77437
334,"GENE'S WRECKER, TIRE & TRUCK REPAIR, LLC",,005673470C,EL CAMPO,TX,77437
335,GILLIE'S WRECKER SERVICE,,005007638C,GALENA PARK,TX,77547
337,GILLIE'S WRECKER SERVICE,,0000798VSF,GALENA PARK,TX,77547
338,GILLS WRECKER SERVICE,,0000690VSF,SABINAL,TX,78881
339,GILLS WRECKER SERVICE,,0000036629,SABINAL,TX,78881
340,GLOBAL WRECKER AND RECOVERY SERVICES,GLOBAL WRECKER AND RECOVERY SERVICES,0646892VSF,EDINBURG,TX,78540
341,"GOODMAN & SON WRECKER SERVICE, LLC",,006598727C,FRANKSTON,TX,75763
342,"GOODMAN & SON WRECKER SERVICE, LLC",,0659873VSF,FRANKSTON,TX,75763
343,GOODRUM WRECKER SERVICE LLC,,0000037215,VERNON,TX,76385
344,GOODRUM WRECKER SERVICE LLC,,0581759VSF,VERNON,TX,76385
345,GOVAN GARAGE & WRECKER SERVICE LLC,,006525685C,GIDDINGS,TX,78942
346,GOVAN GARAGE & WRECKER SERVICE LLC,,0652602VSF,GIDDINGS,TX,78942
347,"GRAHAM'S WRECKER SERVICE, INC.",,0000862VSF,CARROLLTON,TX,75006
348,"GRAHAM'S WRECKER SERVICE, INC.",,0000037667,CARROLLTON,TX,75006
349,"GRAHAM'S WRECKER SERVICE, INC.",,0564188VSF,CARROLLTON,TX,75006
350,GRAND PARKWAY WRECKER SERVICE LLC,,0658999VSF (Expired!),RICHMOND,TX,77407
351,GRAND PARKWAY WRECKER SERVICE LLC,,0658372VSF (Insurance not applied !),RICHMOND,TX,77407
352,GRAND PARKWAY WRECKER SERVICE LLC,,006583734C,RICHMOND,TX,77469
353,"GRAND PARKWAY WRECKER SERVICE, LLC",,0660046VSF,RICHMOND,TX,77469
354,GRANGER'S WRECKER SERVICE,,0642062VSF,NEDERLAND,TX,77627
355,GRANGERS WRECKER SERVICE,GRANGERS WRECKER SERVICE,0647404VSF,NEDERLAND,TX,77627
356,GREG'S WRECKER SERVICE LLC,,006547133C,AUSTIN,TX,78747
358,GRITTEN WRECKER SERVICE,GRITTEN WRECKER SERVICE,006588399C (Expired!),WACO,TX,76705
359,GRITTEN WRECKER SERVICE,GRITTEN WRECKER SERVICE,0658840VSF (Suspended!),WACO,TX,76705
360,GUILLORY'S WRECKER SERVICE,,005253872C,BEAUMONT,TX,77705
361,GUILLORY'S WRECKER SERVICE,,0525176VSF,BEAUMONT,TX,77705
362,"GUN BARREL WRECKER SERVICE, INC.",,0000037326,MABANK,TX,75147
363,"GUN BARREL WRECKER SERVICE, INC.",,0522646VSF,MABANK,TX,75147
364,GUY SIMONS WRECKER SERVICE,,0647384VSF,FORT WORTH,TX,76106
365,H & F WRECKER INC,H & F WRECKER INC,006499635C,POINT,TX,75472
366,H & L WRECKER SERVICE,LORI HOBBS,006551848C (Expired!),ATLANTA,TX,75551
367,H & L WRECKER SERVICE,,006540768C,RIO GRANDE CITY,TX,78582
368,H &F WRECKER INC,,0653927VSF (Suspended!),POINT,TX,75472
369,H &F WRECKER INC,,0657781VSF,POINT,TX,75472
370,H&F WRECKER INC,,0651725VSF,POINT,TX,75472
371,"HAINES WRECKER SERVICE, LLC",HAINES & SON WRECKER SERVICE,006429573C,ELK CITY,OK,73644
372,HARGROVE WRECKER AND STORAGE,,005030239C,PORTER,TX,77365
373,HARGROVE WRECKER AND STORAGE,,0572731VSF,PORTER,TX,77365
374,HARRISON WRECKER SERVICE,,006410159C,LIVINGSTON,TX,77351
375,HARWOOD WRECKER LLC,,006544432C (Expired!),LIVINGSTON,TX,77351
376,HARWOOD WRECKER LLC,,0654446VSF (Expired!),LIVINGSTON,TX,77351
377,HAWARA AUTO WRECKER,,005149362C,HOUSTON,TX,77041
379,HAWK WRECKER & AUTO,HAWK WRECKER & AUTO,0655279VSF (Dismissed!),BEAUMONT,TX,77706
380,"HECTOR'S WRECKER SERVICE, INC.",HECTOR'S WRECKER SERVICE,0609584VSF (Pending Review!),PECOS,TX,79772
381,HEREFORD WRECKER SERVICE,,005755561C,HEREFORD,TX,79045
382,HERNANDEZ WRECKER,HERNANDEZ WRECKER,0649617VSF,UVALDE,TX,78801
383,"HESTER'S WRECKER SERVICE, INC.",,005061281C,MESQUITE,TX,75150
384,"HESTER'S WRECKER SERVICE, INC.",,0000891VSF,MESQUITE,TX,75150
385,HIDDEN VALLEY WRECKER INC,,006494061C,HOUSTON,TX,77037
386,HIGHLAND SAFETY WRECKER SERVICE LLC,,0659580VSF,KINGSLAND,TX,78639
387,"HIGHLAND SAFETY WRECKER SERVICE, LLC",,006595794C,KINGSLAND,TX,78639
388,HOLLANDS WRECKER SERVICE,,006435727C,PEARLAND,TX,77581
389,HOLT WRECKER OF BROWNSBORO,,0647833VSF,BROWNSBORO,TX,75756
390,HOLT WRECKER OF BROWNSBORO,,006464930C,BROWNSBORO,TX,75756
391,HOLT WRECKER SERVICE,,006041248C (Expired!),ATHENS,TX,75751
392,HOLT WRECKER SERVICE,,0604125VSF (Insurance not applied !),ATHENS,TX,75751
393,HOLT WRECKER SERVICE LLC,,006598377C,ATHENS,TX,75751
394,HOLT WRECKER SERVICE LLC,,0659838VSF,ATHENS,TX,75751
395,HOMER'S WRECKER SERVICE,,005248532C,HOUSTON,TX,77087
396,HOOK 'EM UP WRECKER SERVICE INC,,006545581C,KILLEEN,TX,76549
397,HOOK 'EM UP WRECKER SERVICE INC,,0654559VSF,KILLEEN,TX,76549
398,HOOK EM UP WRECKER SERVICE,,0648539VSF,DENISON,TX,75020
400,HUMBLE WRECKER SERVICE,,005035759C,HUMBLE,TX,77396
401,HWY 90 WRECKER SERVICE LLC,HWY 90 WRECKER SERVICE,006444583C,DAYTON,TX,77535
402,"I-45 NORTH WRECKER SERVICE, INC.",,005040050C,CONROE,TX,77305
403,"I-45 NORTH WRECKER SERVICE, INC.",,0594218VSF,CONROE,TX,77305
404,IMPERIAL WRECKER SERVICE INC,,0657797VSF (Expired!),ROSENBERG,TX,77471
405,IMPERIAL WRECKER SERVICE INC,,0658663VSF,ROSENBERG,TX,77471
406,IMPERIAL WRECKER SERVICE INC.,,0643649VSF,SUGARLAND,TX,77498
407,IMPERIAL WRECKER SERVICE INC.,,006410279C,SUGAR LAND,TX,77498
408,"IMPERIAL WRECKER, LLC",,006588839C,SAN ANTONIO,TX,78210
409,INTEGRITY WRECKER & RECOVERY LLC,,0658645VSF,DECATUR,TX,76234
410,INTEGRITY WRECKER & RECOVERY LLC,,006573377C,DECATUR,TX,76234
411,IRVAN J. WRECKER SERVICE,,005591631C,MAGNOLIA,TX,77355
412,"IRVING WRECKER SERVICE, INC",,006480982C,GARLAND,TX,75043
413,ISAACS WRECKER SERVICE,,0641285VSF,TYLER,TX,75709
414,ISAACS WRECKER SERVICE,"ISAACS WRECKER SERVICE, LLC",005512904C,TYLER,TX,75709
415,ISAACS WRECKER SERVICE LLC,,0656242VSF,TYLER,TX,75709
416,ISAACS WRECKER SERVICE LLC,,0656243VSF,TYLER,TX,75709
417,ISAACS WRECKER SERVICE LLC,,0656244VSF,TYLER,TX,75709
418,ISAACS WRECKER SERVICE LLC,,0657142VSF,TYLER,TX,75709
419,ISAACS WRECKER SERVICE LLC,,0655449VSF,TYLER,TX,75709
421,"ISAACS WRECKER SERVICE, L.L.C.",,0657045VSF,TYLER,TX,75709
422,"ISAACS WRECKER SERVICE, L.L.C.",,0657046VSF,TYLER,TX,75709
423,ISMAEL'S WRECKER SERVICE LLC,,006512995C,ROSENBERG,TX,77471
424,ISMAEL'S WRECKER SERVICE LLC,ISMAEL'S WRECKER SERVICE,0651300VSF,ROSENBERG,TX,77471
425,"J & I WRECKER SERVICE, LLC","ECONOMY TOWING, LLC",006547203C (Expired!),SARITA,TX,78385
426,J & J WRECKER SERVICE,,005031379C,CLEVELAND,TX,77328
427,J & J WRECKER SERVICE,,0000254VSF,CLEVELAND,TX,77328
428,J & K WRECKER SERVICE LLC,,006467461C (Expired!),TATUM,NM,88267
429,"J & L WRECKER SERVICE, INC.",J & N WRECKER SERVICE,0001041VSF,GLENN HEIGHTS,TX,75123
430,"J & M WRECKER SERVICE, INC.",,0514934VSF,CLUTE,TX,77531
431,"J & M WRECKER SERVICE, INC.",,0000037752,CLUTE,TX,77531
432,J & S WRECKER SERVICE LLC,J&S TOWING,006590511C,WALLISVILLE,TX,77597
433,J & S WRECKER SERVICE LLC,,0659052VSF,WALLISVILLE,TX,77597
434,J & S WRECKER SERVICE LLC,J & S TOWING,0659053VSF,WALLISVILLE,TX,77597
435,J & S WRECKER SERVICE LLC,J & S TOWING,0659054VSF,WALLISVILLE,TX,77597
436,J FLORES WRECKING ENTERPRISES INC,FLORES WRECKER & TOWING,0643157VSF,ABILENE,TX,79601
437,J FLORES WRECKING ENTERPRISES INC.,FLORES WRECKER & TOWING,006095374C,ABILENE,TX,79601
438,"J J WRECKER SERVICE, LLC",,006558413C,GARCIASVILLE,TX,78547
439,J WRECKER LLC,,006603461C,PLANO,TX,75024
440,J&I WRECKER SERVICE LLC,FALFURRIAS STORAGE FACILITY,0648169VSF,SARITA,TX,78385
442,"J&I WRECKER SERVICE, LLC",,006565240C,SARITA,TX,78385
443,J&J WRECKER SERVICES LLC,,0659560VSF,HOUSTON,TX,77084
444,J&J WRECKER SERVICES LLC,,006584235C,HOUSTON,TX,77084
445,J-N WRECKER SERVICE,J&N WRECKER SERVICE,005044950C,RED OAK,TX,75154
446,J. J. WRECKER SERVICE,,0547669VSF,GARCIASVILLE,TX,78547
447,J.D.'S WRECKER SERVICE,J.D.'S WRECKER SERVICE,0549427VSF,ANSON,TX,79501
448,J.D.'S WRECKER SERVICE,J.D.'S WRECKER SERVICE,005064612C,ANSON,TX,79501
449,"J.D.S. WRECKER,INC.",,0532342VSF,KERRVILLE,TX,78028
450,"J.D.S. WRECKER,INC.",,005318907C,KERRVILLE,TX,78028
451,J.M.J WRECKING YARD AND STORAGE FACILITY,,0657077VSF,WACO,TX,76705
452,J.M.J WRECKING YARD AND STORAGE FACILITY,,006570784C,WACO,TX,76705
453,JACK'S WRECKER SERVICE,,005953581C,HOUSTON,TX,77060
454,JACKSON'S WRECKER SERVICE LLC,,006423238C (Expired!),KATY,TX,77494
455,JACKSON'S WRECKER SERVICE LLC,,0652918VSF (Expired!),KATY,TX,77494
456,JACKSON'S WRECKER SERVICE LLC,,0658395VSF (Expired!),KATY,TX,77494
457,JC WRECKER SERVICE LLC,J.C. AUTO COLLISION,005770763C,MANVEL,TX,77578
458,JC'S WRECKER SERVICE,JC'S WRECKER SERVICE,0646959VSF,EDINBURG,TX,78540
459,JIMBOS WRECKER SERVICES LLC,JIMBO'S WRECKER SERVICE,006428732C,HOUSTON,TX,77015
460,JO'S WRECKER SERVICE LLC,JO'S WRECKER SERVICE,006416795C,DAYTON,TX,77535
461,JOE'S WRECKER,,0631082VSF,BIG SANDY,TX,75765
463,JOE'S WRECKER,,005017048C,BIG SANDY,TX,75755
464,JOHNNY ADAMICK 'S WRECKER SERVICE,,006409588C,WILLIS,TX,77378
465,JOHNNY ADAMICK WRECKER SERVICE LLC,,0644933VSF,WILLIS,TX,77378
466,JOHNNY WRECKER SERVICE,,006488497C,DALLAS,TX,75236
467,JOHNNY'S WRECKER SERVICE,,0537098VSF,UNIVERSAL CITY,TX,78148
468,JOHNNY'S WRECKER SERVICE,"JOHNNY'S WRECKER SERVICE,LLC",005417956C,UNIVERSAL CITY,TX,78148
469,JONES AUTOMOTIVE & WRECKER SERVICE,,0000038042,KAUFMAN,TX,75142
470,JORGE LOPEZ DBA LULU'S WRECKER SERVICE,,005079794C,HOUSTON,TX,77015
471,JOVEL WRECKER SERVICE,,006434857C,HOUSTON,TX,77091
472,JR'S WRECKER SERVICE,,005946950C,PHARR,TX,78577
473,JR'S WRECKER SERVICE LLC,,006479390C,ROMA,TX,78584
474,JR'S WRECKER SERVICE LLC,,0647947VSF,ROMA,TX,78584
475,JTS WRECKER & RECOVERY LLC,,0658445VSF,MIDLAND,TX,79706
476,"JUAN'S WRECKER & TRUCK ROAD SERVICE, LLC",,006506152C,SARITA,TX,78385
477,"JUAN'S WRECKER & TRUCK ROAD SERVICE, LLC",,0599558VSF,SARITA,TX,78385
478,"JV'S WRECKER, LLC.",JVS WRECKER SERVICES,005157703C (Insurance not applied !),MARTINDALE,TX,78655
479,K & K WRECKER,,005221628C,HOUSTON,TX,77039
480,KELLY MCKNIGHT WRECKER SERVICE INC,,0000030030,ARLINGTON,TX,76011
481,KELLY MCKNIGHT WRECKER SERVICE INC,,0606565VSF (Expired!),ARLINGTON,TX,76004
482,"KELLY MCKNIGHT WRECKER SERVICE, INC.",,0000637VSF (Expired!),ARLINGTON,TX,76004
484,KEMP'S WRECKER SERVICE LLC,,006426420C,DECATUR,TX,76234
485,KEMP'S WRECKER SERVICE LLC,,0642693VSF,DECATUR,TX,76234
486,KEYS WRECKER SERVICE,,005168084C,CHANNELVIEW,TX,77530
487,KRESTA WRECKER SERVICE,,006457833C (Expired!),WHARTON,TX,77488
488,KYA WRECKER SERVICES,,006440660C,HOUSTON,TX,77055
489,L & P WRECKER SERVICE,,005148932C,PALESTINE,TX,75802
490,L. AVILEZ WRECKER SERVICE,,006429482C,CLEVELAND,TX,77328
491,LA FERIA WRECKER SER.,,0000030169,LA FERIA,TX,78559
492,LA MARQUE AUTO SALVAGE/BEST WRECKER,,0507860VSF,LA MARQUE,TX,77568
493,LA MARQUE AUTO SALVAGE/BEST WRECKER,,0535633VSF,LA MARQUE,TX,77568
494,"LADS WRECKER SERVICE, INC.",,005056351C,LUBBOCK,TX,79408
495,"LADS WRECKER SERVICE, INC.",,0001214VSF (Expired!),LUBBOCK,TX,79408
496,LAKESIDE WRECKER AUTOPLEX LLC,,006598517C,MATHIS,TX,78368
497,LAKESIDE WRECKER AUTOPLEX LLC,,0659852VSF,MATHIS,TX,78368
498,LAKESIDE WRECKER LLC,,006587838C,MATHIS,TX,78368
499,LAKESIDE WRECKER LLC,,0659002VSF (Insurance not applied !),MATHIS,TX,78368
500,LAMARQUE AUTO SALVAGE/ BEST WRECKER,,000072777C,LA MARQUE,TX,77568
501,LANDON'S HEAVY WRECKER SERVICE,,0617873VSF,PEARLAND,TX,77581
502,LANDONS HEAVY WRECKER SERVICE,,006178540C,PEARLAND,TX,77581
503,LARRY'S WRECKER SERVICE,,0642325VSF,RICHMOND,TX,77406
505,LARRY'S WRECKER SERVICE,ENRIQUE A AVILA JR,005063592C,RICHMOND,TX,77406
506,LEAD WRECKER AND RECOVERY LLC,,0654851VSF,ODESSA,TX,79761
507,LEAD WRECKER AND RECOVERY LLC,,006540398C,ODESSA,TX,79761
508,LEAD WRECKER LLC,LEAD WRECKER LLC,006575979C,ODESSA,TX,79761
509,LEO'S WRECKER SERVICE AND STORAGE,,005143472C,DEL RIO,TX,78840
510,LEO'S WRECKER SERVICE AND STORAGE,,0619493VSF,DEL RIO,TX,78840
511,LEO'S WRECKER SERVICE LLC,,006589660C,KATY,TX,77449
512,"LIGGIO'S WRECKER SERVICE, INC",,0550185VSF,DICKINSON,TX,77539
513,"LIGGIO'S WRECKER SERVICE, INC.",,0000039359 (Expired!),DICKINSON,TX,77539
514,LINDALE WRECKER SERVICE,,006439949C,HOUSTON,TX,77093
515,LOBO WRECKER SERVICE,,006436958C,RIO GRANDE,TX,78582
516,LOLO & SONS WRECKER SERVICE,,005020438C,VAN HORN,TX,79855
517,LONDON'S WRECKER SERVICE,,0632267VSF (Expired!),LONGVIEW,TX,75601
518,LONDON'S WRECKER SERVICE,,006009217C (Suspended!),LONGVIEW,TX,75601
519,LOPEZ WRECKER SERVICE,,005573608C,GARCIASVILLE,TX,78547
520,LOS CAMPIONES WRECKER SERVICE LLC,,006560265C (Expired!),HOUSTON,TX,77067
521,LUBBOCK WRECKER SERVICE INC,,0000030950,LUBBOCK,TX,79408
522,LUBBOCK WRECKER SERVICE INC.,,0659715VSF,LUBBOCK,TX,79452
523,"LUBBOCK WRECKER SERVICE, INC.",,0000635VSF,LUBBOCK,TX,79452
524,"LUBBOCK WRECKER SERVICE, INC.",,0596611VSF,LUBBOCK,TX,79452
526,LUCKY 13 WRECKER SERVICE LLC,,006571875C,AUSTIN,TX,78731
527,LUPE'S WRECKER SERVICE,,005961172C,BROWNSVILLE,TX,78521
528,LUPE'S WRECKER SERVICE,,0593486VSF,BROWNSVILLE,TX,78521
529,LYNKUP WRECKER SERVICE INC,,006579642C (Suspended!),ABILENE,TX,79603
530,LYNKUP WRECKER SERVICE INC,,0658006VSF (Suspended!),ABILENE,TX,79603
531,M & M WRECKER SERVICE AND AUTO SALES INC,,006433335C,LAREDO,TX,78041
532,M&R WRECKER & RECOVERY INC.,,006509283C (Expired!),ABILENE,TX,79603
533,M.D. WILSON WRECKER SERVICE,,006460865C,MISSOURI CITY,TX,77489
534,MAINFRAME 24HR WRECKER SERVICE,,005783295C,DAYTON,TX,77535
535,MANJANG'S AUTO TECH & WRECKER LLC,,006522262C,DAINGERFIELD,TX,75638
536,MANJANG'S AUTO TECH & WRECKER LLC,,0652227VSF,DAINGERFIELD,TX,75638
537,"MARLOWS WRECKER SERVICE, LLC.",MARLOW'S WRECKER SERVICE,005996435C,KAUFMAN,TX,75142
538,"MARLOWS WRECKER SERVICE, LLC.",MARLOW'S WRECKER SERVICE,0654982VSF,KAUFMAN,TX,75142
539,MARSHALL WRECKER SERVICE,,005323657C,HOUSTON,TX,77016
540,MARTIN BOREN 24 HR WRECKER SER LLC,BOREN TO TOW,006476277C,CENTERVILLE,TX,75833
541,MARTIN BOREN 24 HR WRECKER SERVICE LLC,BOREN TO TOW,0648931VSF,CENTERVILLE,TX,75833
542,MARTINEZ WRECKER SERVICE,,005039740C,LAREDO,TX,78041
543,MARTINEZ WRECKER SERVICE,,0001169VSF,LAREDO,TX,78043
544,MAVERICK WRECKER AND RECOVERY LLC,,006587068C,BIG SPRING,TX,79720
545,MC WRECKER SERVICE LLC,,006568772C,GRAND PRAIRIE,TX,75052
547,MCW WRECKER LLC,,0657240VSF,BANDERA,TX,78003
548,MCW WRECKER LLC,,006570814C,BANDERA,TX,78003
549,MD WRECKER SERVICE,,005780884C,ARLIGNTON,TX,76017
550,MEGAN WRECKER SERVICE LLC,,006600519C,HOUSTON,TX,77049
551,MERCHANTS WRECKER SERVICE INC,MERCHANTS WRECKER SERVICE,0643933VSF,ALVIN,TX,77511
552,MERCHANTS WRECKER SERVICE INC,MERCHANTS WRECKER SERVICE,006424329C,ALVIN,TX,77511
553,METRO WRECKER LLC,METRO WRECKER,006600639C,SAN ANTONIO,TX,78251
554,MID TOWN WRECKER SERVICE,,006481671C (Expired!),HOUSTON,TX,77014
555,MID VALLEY WRECKER SERVICE,,005731738C,WESLACO,TX,78596
556,MID VALLEY WRECKER SERVICE,,0573207VSF,WESLACO,TX,78596
557,MIDWAY TOWING AND WRECKER LLC,,006562727C,EASTLAND,TX,76448
558,MIDWAY WRECKER SERVICE,,005307917C,KERRVILLE,TX,78028
559,MIDWAY WRECKER SERVICE,,0549722VSF,KERRVILLE,TX,78028
560,MIKE PURDOM'S WRECKER SERVICE,,005581739C,EASTLAND,TX,76448
561,MIKE PURDOM'S WRECKER SERVICE,,0651251VSF,EASTLAND,TX,76448
562,MIKE'S WRECKER SERVICE,,005574568C,RICHMOND,TX,77469
563,MIKE'S WRECKER SERVICE,,0595876VSF,RICHMOND,TX,77406
564,"MIKE'S WRECKING, INC",,005058021C (Expired!),ABILENE,TX,79601
565,MIKES WRECKER SERVICE,,005058431C,BREMOND,TX,76629
566,MIKES WRECKER SERVICE - MIKE MUZYKA,MIKES WRECKER SERVICE,0655590VSF (Pending Review!),BREMOND,TX,76629
568,MILLER & SON WRECKER SERVICE,,005062212C,HOUSTON,TX,77093
569,MILLER & SON WRECKER SERVICE & STORAGE,,0001156VSF,HOUSTON,TX,77093
570,MILLER'S WRECKER SERVICE,,005627946C,WEATHERFORD,TX,76085
571,MILSTEAD WRECKER SERVICES LLC,MSC TOWING,0652111VSF,CONROE,TX,77303
572,"MILSTEAD WRECKER SERVICES, LLC",,006507301C,CONROE,TX,77303
573,MIRAGE WRECKER SERVICE INC,,006462667C,DALLAS,TX,75207
574,"MISSION WRECKER SERVICE S.A., INC.",,005746509C,CONVERSE,TX,78109
575,"MISSION WRECKER SERVICE S.A., INC.",,0570027VSF,CONVERSE,TX,78109
576,MITCHEM WRECKER AND RECOVERY LLC,,0658703VSF,BIG SPRING,TX,79720
577,MITCHEM WRECKER AND RECOVERY LLC,,006586728C,BIG SPRING,TX,79720
578,MKM WRECKER SERVICE,,005360050C,SWEETWATER,TX,79556
579,MKM WRECKER SERVICE,,0542352VSF,SWEETWATER,TX,79556
580,MOMENTUM WRECKER SERVICE LLC,,006589580C (Expired!),SPRING,TX,77380
581,MORRIS WRECKER SERVICE LLC,,005466229C,ROSHARON,TX,77583
582,MORRIS WRECKING CREW LLC,,005993315C,COLORADO CITY,TX,79512
583,MORRIS WRECKING CREW LLC,,0599511VSF,COLORADO CITY,TX,79512
584,MOTORTOW WRECKER RECOVERY & TRANSPORT IN,,0654512VSF,NEW BOSTON,TX,75570
585,MOTORTOW WRECKER RECOVERY AND HEAVY HAUL,,006573607C,NEW BOSTON,TX,75570
586,MOTORTOW WRECKER RECOVERY TRANSPORT INC,,006534352C,NEW BOSTON,TX,75570
587,MR WRECKER LLC,,006531951C,KERRVILLE,TX,78029
589,MR WRECKER LLC,,0655723VSF,KERRVILLE,TX,78029
590,MR. ED WRECKER,,006182760C,HOUSTON,TX,77243
591,MURPHY'S 24-HR WRECKER SERVICE LLC,,006571184C,HAMILTON,TX,76531
592,MURPHY'S 24-HR WRECKER SERVICE LLC,,0657119VSF,HAMILTON,TX,76531
593,MUSTANG WRECKER SERVICE LLC,,006527678C,DALLAS,TX,75228
594,"N HARRIS AUTO STORAGE & WRECKER SVC, LLC",,0659722VSF,TOMBALL,TX,77375
595,N.E.S.W. WRECKER SERVICE LLC,,006476287C,HOUSTON,TX,77084
596,NEELEY'S SERVICE CENTER & WRECKER SVC,,006425300C,TEXARKANA,TX,75501
597,NEELEY'S SERVICE CENTER & WRECKER SVC,,0642596VSF,TEXARKANA,TX,75501
598,NEELEY'S SERVICE CENTER & WRECKER SVC,,0654528VSF,TEXARKANA,AR,71854
599,NEIRA'S WRECKING YARD,,006408178C,SAN ANGELO,TX,76905
600,NEWMAN'S WRECKER SERVICE,,005301776C,PALMER,TX,75152
601,NORMAN'S WRECKER SERVICE,,005052931C,BELTON,TX,76513
602,NORTH HOUSTON WRECKER SERVICE LLC,,006583914C (Pending Review!),CYPRESS,TX,77429
603,"NORTHPOINT WRECKER SERVICE, LLC",,006583194C (Insurance not applied !),PORTER,TX,77365
604,NORTHWAY WRECKER SERVICE INC,,006527938C,CYPRESS,TX,77429
605,NTX WRECKER SERVICE LLC,NTX WRECKER SERVICE,0649722VSF,ROWLETT,TX,75088
606,NTX WRECKER SERVICE LLC,NTX WRECKER SERVICE,006406837C,ROWLETT,TX,75088
607,O BAR WRECKER SERVICE LLC,,0655632VSF,ABILENE,TX,79604
608,O'BAR WRECKER SERVICE,O'BAR WRECKER SERVICE,0645329VSF (Expired!),ABILENE,TX,79604
610,O'BAR WRECKER SERVICE,,0000039322,ABILENE,TX,79604
611,OBAR WRECKER SERVCE LLC,,006556441C,ABILENE,TX,79604
612,OCHOA'S WRECKER SERVICE,,0659066VSF,GARCIASVILLE,TX,78547
613,OCHOA'S WRECKER SERVICE,,0594895VSF,GARCIASVILLE,TX,78547
614,OCHOA'S WRECKER SERVICE,,005917918C,GARCIASVILLE,TX,78547
615,ODESSA WRECKER SERVICE INC,,0642507VSF,ODESSA,TX,79764
616,ODESSA WRECKER SERVICE INC,,006425129C,ODESSA,TX,79764
617,OLD 181 WRECKER SERVICE LLC,,006586217C,KENEDY,TX,78119
618,OLD 181 WRECKER SERVICE LLC,,0658622VSF,KENEDY,TX,78119
619,ORELLANA'S AUTO WRECK YARD LLC,,006591542C,DALLAS,TX,75236
620,"ORR WRECKER & TOWING SERVICE, INC.",,0587130VSF,AUSTIN,TX,78737
621,"ORR WRECKER & TOWING SERVICE, INC.",,005715536C,AUSTIN,TX,78737
622,OSCAR'S WRECKER SERVICE,,005570308C,HOUSTON,TX,77022
623,PACKS WRECKER SERVICE,PACKS WRECKER SERVICE,005046660C,DUMAS,TX,79029
624,PACKS WRECKER SERVICE,PACKS WRECKER SERVICE,0001496VSF,DUMAS,TX,79029
625,PANHANDLE WRECKER SERVICE,,005028519C,CLARENDON,TX,79226
626,PANHANDLE WRECKER SERVICE,,0573619VSF,CLARENDON,TX,79226
627,PARKER COUNTY WRECKER SERVICE INC,AA WRECKER SERVICE,0657429VSF,WEATHERFORD,TX,76085
628,"PARKER COUNTY WRECKER SERVICE, INC",AA WRECKER SERVICE,005359350C,WEATHERFORD,TX,76085
629,PATRIOT WRECKER SERVICE,PATRIOT WRECKER SERVICE,0640554VSF (Expired!),BASTROP,TX,78602
631,PAUL'S WRECKER,,0583964VSF,HUNTSVILLE,TX,77320
632,PAYNE'S WRECKER SERVICE INC.,PAYNE & SONS PAYNES WRECKER SVC INC,0000359VSF,SILSBEE,TX,77656
633,PAYNE'S WRECKER SERVICE INC.,PAYNE & SONS PAYNES WRECKER SVC INC,005033799C,SILSBEE,TX,77656
634,PAYNE'S WRECKER SERVICE INC.,"PAYNE & SONS, PAYNE & SONS WRECKER SVC.P",0616754VSF,SILSBEE,TX,77656
635,PEEPLES WRECKER SERVICE LLC,,006513536C,SEGUIN,TX,78155
636,PEEPLES WRECKER SERVICE LLC,,0651360VSF,SEGUIN,TX,78155
637,PENA'S WRECKER SERVICE,,005020418C,BROWNSVILLE,TX,78521
638,PENA'S WRECKER SERVICE,,0567844VSF,BROWNSVILLE,TX,78521
639,PENICK WRECKER SERVICE,,006200631C,HEARNE,TX,77859
640,PEPE'S WRECKER SERVICE,,006484223C,HOUSTON,TX,77255
641,"PERFORMANCE WRECKER SERVICE, LLC",PERFORMANCE TOWING & RECOVERY,006465360C,ROSENBERG,TX,77471
642,"PERFORMANCE WRECKER SERVICE, LLC",PERFORMANCE TOWING & RECOVERY,0653186VSF,ROSENBERG,TX,77471
643,PERRY'S WRECKER SERVICE,PERRY'S WRECKER SERVICE,005042170C,SPRING,TX,77383
